x,y,z,value
4.0,-0.6,-0.5,0.9906963423890407
4.015500356478567,-0.5865168539325842,-0.5,0.9985911752015584
4.03092623475747,-0.5730337078651685,-0.5,1.0081866146891447
4.046203155530217,-0.5595505617977528,-0.5,1.0211832663342204
4.061256639490308,-0.546067415730337,-0.5,1.039281735619205
4.076012207331246,-0.5325842696629213,-0.5,1.064182628026519
4.090395379746531,-0.5191011235955056,-0.5,1.0975865490385814
4.10433167742967,-0.5056179775280899,-0.5,1.1411941041378135
4.117746621074162,-0.49213483146067416,-0.5,1.1967058988066346
4.130565663162701,-0.4786516853932584,-0.5,1.2658256644962045
4.142712616266131,-0.4651685393258427,-0.5,1.3497587826830981
4.154134673116991,-0.45168539325842694,-0.5,1.4467527661475263
4.16478879616001,-0.4382022471910112,-0.5,1.5542234849151235
4.174631947839912,-0.42471910112359545,-0.5,1.6695868090115267
4.183621090601429,-0.4112359550561797,-0.5,1.790258608462373
4.191713186889286,-0.39775280898876403,-0.5,1.9136547532932973
4.19886519914821,-0.3842696629213483,-0.5,2.0371911135299365
4.205034089822929,-0.37078651685393255,-0.5,2.158283559197927
4.210176299107859,-0.35730337078651686,-0.5,2.274354204778263
4.214242261834251,-0.3438202247191011,-0.5,2.3840324303425944
4.217220436960385,-0.3303370786516854,-0.5,2.488583943995986
4.219112397959172,-0.31685393258426964,-0.5,2.589622295010746
4.21991971830353,-0.3033707865168539,-0.5,2.688761032659189
4.219643971466373,-0.28988764044943816,-0.5,2.7876137062136257
4.218286730920618,-0.2764044943820224,-0.5,2.887793864946369
4.215849570139181,-0.26292134831460673,-0.5,2.9909150581297315
4.212334062594977,-0.249438202247191,-0.5,3.0985908350360245
4.207741349147263,-0.23595505617977525,-0.5,3.212424078289929
4.202080231946454,-0.2224719101123595,-0.5,3.332953693661126
4.195395751326632,-0.20898876404494376,-0.5,3.458780141799597
4.18773937789558,-0.19550561797752808,-0.5,3.5882991701788565
4.179162582261088,-0.18202247191011234,-0.5,3.719906526272424
4.16971683503094,-0.1685393258426966,-0.5,3.851997957553814
4.159453606812925,-0.15505617977528086,-0.5,3.9829692114965463
4.148424368214829,-0.14157303370786511,-0.5,4.111216035574138
4.136680589844439,-0.12808988764044943,-0.5,4.2351341772601065
4.124270996235297,-0.11460674157303369,-0.5,4.3531400516438055
4.111227601034186,-0.10112359550561795,-0.5,4.464347718975365
4.097612800994783,-0.08764044943820226,-0.5,4.5687162934261
4.083496263334387,-0.07415730337078652,-0.5,4.666255208173958
4.068947655270296,-0.06067415730337078,-0.5,4.756973896396886
4.054036644019811,-0.04719101123595504,-0.5,4.840881791272832
4.038832896800227,-0.0337078651685393,-0.5,4.917988325979739
4.023406080828847,-0.020224719101123556,-0.5,4.9883029336955556
4.00782586332297,-0.006741573033707815,-0.5,5.0518350475982325
3.9921741112367775,0.006741573033707926,-0.5,5.108506620826768
3.976593717466289,0.020224719101123667,-0.5,5.157663686818513
3.961166618623524,0.03370786516853941,-0.5,5.198874204417004
3.94596255461222,0.04719101123595515,-0.5,5.231778221448398
3.93105126533611,0.06067415730337078,-0.5,5.256015785738844
3.9165024906989334,0.07415730337078652,-0.5,5.271226945114503
3.902385970604427,0.08764044943820226,-0.5,5.277051747401528
3.888771444956324,0.101123595505618,-0.5,5.273130240426074
3.8757286536583635,0.11460674157303374,-0.5,5.259102472014295
