x,y,z,value
4.0,-0.6,-0.5,0.16236546871075533
4.015500356478567,-0.5865168539325842,-0.5,0.15900510529329587
4.03092623475747,-0.5730337078651685,-0.5,0.1556453146258705
4.046203155530217,-0.5595505617977528,-0.5,0.1522866689683659
4.061256639490308,-0.546067415730337,-0.5,0.14892974058066866
4.076012207331246,-0.5325842696629213,-0.5,0.14557510172266536
4.090395379746531,-0.5191011235955056,-0.5,0.14222332465424264
4.10433167742967,-0.5056179775280899,-0.5,0.13887498163528708
4.117746621074162,-0.49213483146067416,-0.5,0.13553064492568523
4.130565663162701,-0.4786516853932584,-0.5,0.13219086327120602
4.142712616266131,-0.4651685393258427,-0.5,0.12885298395263894
4.154134673116991,-0.45168539325842694,-0.5,0.12551374307766755
4.16478879616001,-0.4382022471910112,-0.5,0.12217147994819016
4.174631947839912,-0.42471910112359545,-0.5,0.11882453386610516
4.183621090601429,-0.4112359550561797,-0.5,0.11547124413331096
4.191713186889286,-0.39775280898876403,-0.5,0.11210995005170592
4.19886519914821,-0.3842696629213483,-0.5,0.10873899092318835
4.205034089822929,-0.37078651685393255,-0.5,0.10535670604965669
4.210176299107859,-0.35730337078651686,-0.5,0.10196133173379124
4.214242261834251,-0.3438202247191011,-0.5,0.09854944573180505
4.217220436960385,-0.3303370786516854,-0.5,0.09512383423089747
4.219112397959172,-0.31685393258426964,-0.5,0.09168965915176124
4.21991971830353,-0.3033707865168539,-0.5,0.08825208241508933
4.219643971466373,-0.28988764044943816,-0.5,0.08481626594157453
4.218286730920618,-0.2764044943820224,-0.5,0.0813873716519098
4.215849570139181,-0.26292134831460673,-0.5,0.07797056146678803
4.212334062594977,-0.249438202247191,-0.5,0.07457099730690206
4.207741349147263,-0.23595505617977525,-0.5,0.07119352334067196
4.202080231946454,-0.2224719101123595,-0.5,0.06783388715336289
4.195395751326632,-0.20898876404494376,-0.5,0.06448117214980713
4.18773937789558,-0.19550561797752808,-0.5,0.061124915715745826
4.179162582261088,-0.18202247191011234,-0.5,0.057754655236920124
4.16971683503094,-0.1685393258426966,-0.5,0.05435992809907119
4.159453606812925,-0.15505617977528086,-0.5,0.05093027168794025
4.148424368214829,-0.14157303370786511,-0.5,0.04745522338926845
4.136680589844439,-0.12808988764044943,-0.5,0.043924320588796965
4.124270996235297,-0.11460674157303369,-0.5,0.0403276112017391
4.111227601034186,-0.10112359550561795,-0.5,0.03669165888376434
4.097612800994783,-0.08764044943820226,-0.5,0.03310010575265835
4.083496263334387,-0.07415730337078652,-0.5,0.02964137859919649
4.068947655270296,-0.06067415730337078,-0.5,0.02640390421415419
4.054036644019811,-0.04719101123595504,-0.5,0.023476109388306854
4.038832896800227,-0.0337078651685393,-0.5,0.020946420912429885
4.023406080828847,-0.020224719101123556,-0.5,0.018903265577298684
4.00782586332297,-0.006741573033707815,-0.5,0.01743507017368867
3.9921741112367775,0.006741573033707926,-0.5,0.016627254565675934
3.976593717466289,0.020224719101123667,-0.5,0.016491365537370337
3.961166618623524,0.03370786516853941,-0.5,0.016962458034091993
3.94596255461222,0.04719101123595515,-0.5,0.017972056322697015
3.93105126533611,0.06067415730337078,-0.5,0.019451684670041488
3.9165024906989334,0.07415730337078652,-0.5,0.021332867342981558
3.902385970604427,0.08764044943820226,-0.5,0.02354712860837332
3.888771444956324,0.101123595505618,-0.5,0.026025992733072878
3.8757286536583635,0.11460674157303374,-0.5,0.028700983983936355
3.8633200460380843,0.12808988764044948,-0.5,0.03150656419724283
3.851577509956243,0.14157303370786523,-0.5,0.03440984238881338
3.840549569553791,0.15505617977528097,-0.5,0.037397276207256455
3.8302874967481295,0.1685393258426967,-0.5,0.04045548696943717
3.8208425634566625,0.18202247191011245,-0.5,0.04357109599222064
3.8122660415967906,0.19550561797752808,-0.5,0.04673072459247199
3.8046092030859175,0.20898876404494382,-0.5,0.04992099408705636
3.797923319841443,0.22247191011235956,-0.5,0.05312852579283887
3.792259663780774,0.2359550561797753,-0.5,0.056339941026684666
3.7876630663316995,0.24943820224719104,-0.5,0.0595445795900809
3.7841426001846536,0.2629213483146068,-0.5,0.06274455969993267
3.7817002257424406,0.2764044943820225,-0.5,0.06594258238783637
3.780338353432586,0.28988764044943827,-0.5,0.06914108663687961
3.7800593936826132,0.303370786516854,-0.5,0.07234251143015
3.78086575692005,0.31685393258426975,-0.5,0.07554929575073524
3.7827598535724247,0.3303370786516855,-0.5,0.07876387858172298
3.7857440940672586,0.3438202247191011,-0.5,0.08198869890620082
3.7898208888320815,0.35730337078651686,-0.5,0.0852261957072565
3.7949758294783793,0.3707865168539326,-0.5,0.0884795659475338
3.8011525544526523,0.38426966292134834,-0.5,0.09175289767832073
3.8083081218611188,0.3977528089887641,-0.5,0.09504883496716167
3.816400343662874,0.4112359550561798,-0.5,0.09836997556634003
3.8253870318170144,0.42471910112359545,-0.5,0.10171891722813918
3.835225998282639,0.4382022471910113,-0.5,0.10509825770484267
3.845875055018845,0.45168539325842694,-0.5,0.10851059474873381
3.8572920139847273,0.4651685393258428,-0.5,0.11195852611209606
3.8694346871393828,0.4786516853932584,-0.5,0.11544464954721274
3.882250754319355,0.49213483146067427,-0.5,0.11896870348593247
3.8956637607809794,0.5056179775280899,-0.5,0.12252512479622814
3.909599026941987,0.5191011235955058,-0.5,0.12610984635320557
3.9239819442738924,0.5325842696629214,-0.5,0.12971882526448153
3.9387379042482156,0.5460674157303372,-0.5,0.1333480186376731
3.9537922983364693,0.5595505617977529,-0.5,0.13699338358039692
3.9690705180101755,0.5730337078651685,-0.5,0.14065087720027014
3.9844979547408457,0.5865168539325843,-0.5,0.14431645660490955
4.0,0.6,-0.5,0.14798607890193202
4.000776325215508,-0.6,-0.4859154929577465,0.16246872743515686
4.016127506319158,-0.5865168539325842,-0.4859154929577465,0.159121064968323
4.031401875768915,-0.5730337078651685,-0.4859154929577465,0.1557857145273289
4.046513283504885,-0.5595505617977528,-0.4859154929577465,0.15245161669723425
4.061387250220569,-0.546067415730337,-0.4859154929577465,0.14911934373792557
4.075949296609468,-0.5325842696629213,-0.4859154929577465,0.1457894679092896
4.090124943365088,-0.5191011235955056,-0.4859154929577465,0.14246256147121283
4.103839711180928,-0.5056179775280899,-0.4859154929577465,0.1391391966835819
4.117019120750492,-0.49213483146067416,-0.4859154929577465,0.13581994580628343
4.129705279596132,-0.4786516853932584,-0.4859154929577465,0.132520687578482
4.141796421952966,-0.4651685393258427,-0.4859154929577465,0.12921757349136068
4.153138231261155,-0.45168539325842694,-0.4859154929577465,0.1259172409093963
4.1637044450717555,-0.4382022471910112,-0.4859154929577465,0.12261359042988733
4.1734520258295,-0.42471910112359545,-0.4859154929577465,0.11930496135473224
4.182337935979111,-0.4112359550561797,-0.4859154929577465,0.11598969298582933
4.190319137965319,-0.39775280898876403,-0.4859154929577465,0.11266612462507702
4.19735259423285,-0.3842696629213483,-0.4859154929577465,0.10933259557437366
4.2033952672264325,-0.37078651685393255,-0.4859154929577465,0.10598744513561763
4.208519967539331,-0.35730337078651686,-0.4859154929577465,0.10263940908225332
4.212582562439178,-0.3438202247191011,-0.4859154929577465,0.09927502287277375
4.215544530790723,-0.3303370786516854,-0.4859154929577465,0.09589886650578924
4.217420552299975,-0.31685393258426964,-0.4859154929577465,0.09251502341346178
4.218212200439858,-0.3033707865168539,-0.4859154929577465,0.0891286555164843
4.217921048683282,-0.28988764044943816,-0.4859154929577465,0.08574492473554962
4.216548670503165,-0.2764044943820224,-0.4859154929577465,0.08236899299135067
4.214096639372423,-0.26292134831460673,-0.4859154929577465,0.07900602220458035
4.210566528763971,-0.249438202247191,-0.4859154929577465,0.07566117429593149
4.2059707463599265,-0.23595505617977525,-0.4859154929577465,0.07234424536589497
4.200434084662097,-0.2224719101123595,-0.4859154929577465,0.06904469072623141
4.193882048729922,-0.20898876404494376,-0.4859154929577465,0.06575038205456708
4.186366556611862,-0.19550561797752808,-0.4859154929577465,0.06245081700943434
4.177939078915706,-0.18202247191011234,-0.4859154929577465,0.05913553297657434
4.168651086249237,-0.1685393258426966,-0.4859154929577465,0.05579406734172823
4.158554049220244,-0.15505617977528086,-0.4859154929577465,0.052415957490637224
4.147699438436515,-0.14157303370786511,-0.4859154929577465,0.04899074080904247
4.136136913747109,-0.12808988764044943,-0.4859154929577465,0.04550808008525252
4.123946477647295,-0.11460674157303369,-0.4859154929577465,0.04196723723130989
4.11092711367734,-0.10112359550561795,-0.4859154929577465,0.03837715254476089
4.097347512643161,-0.08764044943820226,-0.4859154929577465,0.0348456420108595
4.0832773417620585,-0.07415730337078652,-0.4859154929577465,0.03146113242038109
4.068786268251332,-0.06067415730337078,-0.4859154929577465,0.02831205056410108
4.053943959328281,-0.04719101123595504,-0.4859154929577465,0.025486823232794883
4.038820082210204,-0.0337078651685393,-0.4859154929577465,0.023073877217237894
4.0234843041143975,-0.020224719101123556,-0.4859154929577465,0.021161639308205516
4.007986539461588,-0.006741573033707815,-0.4859154929577465,0.019839605686053936
3.992013796593756,0.006741573033707926,-0.4859154929577465,0.01902555886928964
3.9765161427371125,0.020224719101123667,-0.4859154929577465,0.018752065895598375
3.9611803568371093,0.03370786516853941,-0.4859154929577465,0.019098579760160547
3.946056426342734,0.04719101123595515,-0.4859154929577465,0.019994576193728537
3.9312140911577247,0.06067415730337078,-0.4859154929577465,0.021371579463158437
3.9167230911858186,0.07415730337078652,-0.4859154929577465,0.0231611138353064
3.9026531663307504,0.08764044943820226,-0.4859154929577465,0.025294703577028507
3.889074056496258,0.101123595505618,-0.4859154929577465,0.027703872955180883
3.8760555015860767,0.11460674157303374,-0.4859154929577465,0.030320146236619615
3.863866361732421,0.12808988764044948,-0.4859154929577465,0.033054191074062926
3.8523054695889765,0.14157303370786523,-0.4859154929577465,0.03587871228763122
3.8414525812896336,0.15505617977528097,-0.4859154929577465,0.0387898297629981
3.83135715652938,0.1685393258426967,-0.4859154929577465,0.04177391710233527
3.8220704672256205,0.18202247191011245,-0.4859154929577465,0.044817595622507894
3.8136437852957528,0.19550561797752808,-0.4859154929577465,0.04790748664038099
3.8061283826571817,0.20898876404494382,-0.4859154929577465,0.05103021147281981
3.799575531227309,0.22247191011235956,-0.4859154929577465,0.054172391436689414
3.7940369499130404,0.2359550561797753,-0.4859154929577465,0.05732070507403103
3.7894453656381013,0.24943820224719104,-0.4859154929577465,0.060459562020003986
3.7859394561293658,0.2629213483146068,-0.4859154929577465,0.06361780300615734
3.7835112288673445,0.2764044943820225,-0.4859154929577465,0.06677367226152568
3.7821630942795634,0.28988764044943827,-0.4859154929577465,0.06992960876919666
3.7818974627935464,0.303370786516854,-0.4859154929577465,0.07308805151225788
3.782716744836823,0.31685393258426975,-0.4859154929577465,0.07625143947379703
3.7846233508369167,0.3303370786516855,-0.4859154929577465,0.07942221163690179
3.787619691221353,0.3438202247191011,-0.4859154929577465,0.08260280698465973
3.7917214986897054,0.35730337078651686,-0.4859154929577465,0.08579806265780056
