time,full_ux,full_uy,full_uz,rom_ux,rom_uy,rom_uz,calculix_ux,calculix_uy,calculix_uz
0.005,-4.560378744421527e-07,-4.2580746553249434e-07,2.928417892328417e-05,-3.117239549819765e-07,-5.141770060854537e-07,2.9195809382731302e-05,-9.458021e-07,-8.84762e-07,5.832801e-05
0.01,-3.7683211859074235e-06,-3.569347859018499e-06,0.00013635257261262475,-3.112329294612625e-06,-3.950452124163223e-06,0.00013597146834748048,-6.740477e-06,-6.410211e-06,0.0002131793
0.015,-1.5202622004468982e-05,-1.4713315743029502e-05,0.00031498164611620805,-1.3779078864687663e-05,-1.546613398173306e-05,0.00031422882787750554,-2.389918e-05,-2.331072e-05,0.0004141692
0.02,-4.049964119573733e-05,-4.0461509390555586e-05,0.0005107886805614954,-3.852612408839324e-05,-4.1341946661141996e-05,0.0005099082432909105,-5.70935e-05,-5.781413e-05,0.0006042695
0.025,-8.095378175594559e-05,-8.469288666904475e-05,0.0006753455162315914,-7.922671944148267e-05,-8.518869429500976e-05,0.0006748497086056279,-0.0001040921,-0.0001112831,0.0007448073
0.03,-0.00012995359834289382,-0.00014525547903561668,0.0007867750585779654,-0.00012973725835093236,-0.00014479427705698676,0.0007872362605565955,-0.0001541931,-0.000178193,0.0008303964
0.035,-0.00017394030325013925,-0.00021373537057717542,0.0008561939089822002,-0.0001765649122119808,-0.00021196648633583896,0.0008579627932235345,-0.0001916488,-0.0002476706,0.0008868583
0.04,-0.00019788389635756734,-0.0002785432098000267,0.0009176800575942949,-0.0002040924932079818,-0.00027557662596736565,0.0009206466414269515,-0.0002027982,-0.0003078751,0.0009543296
0.045,-0.00019278654675992701,-0.0003297699371755402,0.0010080299872313847,-0.00020203570828766646,-0.00032626444023489893,0.0010115354841720196,-0.0001834374,-0.0003509995,0.001065221
0.05,-0.00016137077884962326,-0.00036332974596881115,0.0011475696352750257,-0.00017142224948634566,-0.0003603744238412405,0.001150524957402591,-0.0001425544,-0.0003763761,0.001228835
0.055,-0.00011877994854969346,-0.0003823231526255536,0.0013321220062642608,-0.0001259211170492777,-0.0003811318954825823,0.0013333132634072314,-0.0001001961,-0.0003902117,0.001430299
0.06,-8.751838922493777e-05,-0.00039505505322836904,0.001539690935621118,-8.756679012925691e-05,-0.00039656425888135534,0.001538181729968139,-8.011302e-05,-0.0004022523,0.001643358
0.065,-8.87626390452752e-05,-0.0004108805971369048,0.0017471662963354146,-7.867861689595834e-05,-0.00041538013331363885,0.0017426667601586963,-0.0001004704,-0.0004212067,0.001849044
0.07,-0.00013406775105119753,-0.00043607453802171144,0.001946925180988987,-0.00011364679379392666,-0.0004429976447911481,0.0019400020742195718,-0.0001669438,-0.0004512359,0.00204923
0.075,-0.0002213709686515029,-0.0004717101811703057,0.002153519291129265,-0.00019428507610310024,-0.00047966223392088413,0.0021455672383787062,-0.0002713957,-0.0004910468,0.002267207
0.08,-0.0003371018986761201,-0.0005142830189863748,0.002396438456859935,-0.00031064622012836555,-0.000521318640206657,0.002389402835639662,-0.0003966128,-0.0005356177,0.002534877
0.085,-0.0004632124230240328,-0.0005582855208178601,0.002702952165988338,-0.0004465175935991604,-0.0005623716779599724,0.002698866008846218,-0.0005246577,-0.0005792091,0.002873725
0.09,-0.0005855744296614688,-0.0005990125206822093,0.003080791419123898,-0.0005866494283833928,-0.0005985629984870019,0.00308124094131908,-0.0006447224,-0.0006178361,0.003280379
0.095,-0.0006996545150639716,-0.0006340358699256545,0.0035107417910376446,-0.0007221965996479757,-0.0006283821882572063,0.003516395472706055,-0.0007567878,-0.0006499983,0.003725201
0.1,-0.0008109007967201367,-0.0006628561082253814,0.003953887960451392,-0.0008520890176402915,-0.0006525332026973366,0.003964210865979399,-0.0008696241,-0.0006757299,0.004165308
0.105,-0.0009300392099237598,-0.0006855071648770069,0.004370198648670713,-0.0009803454154740207,-0.0006722721830662729,0.004383433630481424,-0.000994541,-0.0006951362,0.004565526
0.11,-0.001066028755251942,-0.0007015514243254859,0.004738787198323735,-0.0011114418535413586,-0.0006881101221932907,0.004752228500455934,-0.001138343,-0.0007078421,0.004916339
0.115,-0.0012204677360388252,-0.0007105441148083276,0.005069025198989308,-0.0012466380412666433,-0.0007000208992352366,0.0050795484145624336,-0.001299152,-0.0007140378,0.005239253
0.12,-0.00138629574314098,-0.0007138979014873091,0.005396392766222435,-0.0013833031758665316,-0.000709143466078538,0.005401147201631262,-0.001467097,-0.0007165469,0.005576548
0.125,-0.0015512652626740418,-0.0007168764463594689,0.005764995928962665,-0.00151733574511313,-0.0007197528217774572,0.0057621195535447365,-0.001629283,-0.0007223611,0.005970548
0.13,-0.0017041482549421357,-0.0007289877998209085,0.006205731467891469,-0.0016468818580106827,-0.000739795287254334,0.006194923980458087,-0.001776255,-0.0007420579,0.00644298
0.135,-0.0018403068808186508,-0.0007617075414690308,0.0067213392483186,-0.0017747966346786186,-0.0007789114348347376,0.006704135354952902,-0.001906553,-0.0007865529,0.00698488
0.14,-0.001963740140515768,-0.0008239405443116519,0.007285855961881738,-0.0019080710896041833,-0.0008443100322342296,0.007265486473959131,-0.002027091,-0.0008621992,0.007561884
0.145,-0.0020846861368556202,-0.0009171102492724251,0.00785830878091708,-0.0020542911321547275,-0.0009362972823099579,0.007839121747879487,-0.002149343,-0.0009664581,0.00813165
0.15,-0.0022142119059670143,-0.001032365388101505,0.008403011653539011,-0.002217030878921424,-0.00104584008440439,0.008389536957236052,-0.002283463,-0.001086482,0.008663984
0.155,-0.0023587026022053145,-0.0011516857023443877,0.008905556261754275,-0.00239284131885686,-0.0011558333431454992,0.0089014086209531,-0.002433423,-0.001201808,0.009153108
0.16,-0.0025170308030410924,-0.0012529355709476758,0.009376224172160785,-0.0025717191392141364,-0.0012460434382018937,0.009383116304906534,-0.002595469,-0.001290477,0.009616028
0.165,-0.002681598128548564,-0.0013170231837045185,0.009839583306813612,-0.0027410417529800013,-0.0012998761136281678,0.009856730376889975,-0.002760385,-0.001336244,0.01007859
0.17,-0.0028423228121110086,-0.001334254049830537,0.01031660594440281,-0.0028909913296295,-0.0013101324044367403,0.010340727589796657,-0.002917999,-0.001333944,0.01055739
0.17500000000000002,-0.0029911697253512362,-0.00130728295818843,0.010809642506257133,-0.0030185787626574134,-0.0012813061618778057,0.010835619302567828,-0.003061364,-0.001290862,0.0110479
0.18,-0.0031247543361149852,-0.0012496055540466545,0.01129886924327001,-0.0031280659339213315,-0.001227550506438808,0.011320924290877929,-0.003188472,-0.001223745,0.01152536
0.185,-0.0032438628808785673,-0.0011804969603853742,0.011752379958875788,-0.003227534122604673,-0.0011673865283502428,0.01176549039091097,-0.003300935,-0.001152928,0.01195824
0.19,-0.0033506209051546573,-0.0011187144105434187,0.012144454793574145,-0.003323505119479566,-0.001117559203385379,0.0121456100007322,-0.003400871,-0.001096105,0.01232676
0.195,-0.003445416488720615,-0.0010774853746819074,0.01247188120902564,-0.0034166894769752467,-0.001088535367356358,0.012460831216351166,-0.003488235,-0.00106405,0.01263635
0.2,-0.0035257659576914875,-0.00106232039120855,0.012759059742996076,-0.0035014259288245883,-0.0010830419194107514,0.01273833821479382,-0.003560468,-0.00105939,0.01291822
0.20500000000000002,-0.003588067732799839,-0.0010716556580948567,0.013048544509377036,-0.0035694038730403133,-0.001097434630572586,0.013022765536899239,-0.003614865,-0.001078004,0.01321629
0.21,-0.0036313475556122403,-0.001099108530328136,0.013381462476206822,-0.0036158528823994215,-0.0011244618707125546,0.013356109135822344,-0.003652326,-0.001111639,0.01356673
0.215,-0.003660723158912232,-0.0011358185880967666,0.013777743688794574,-0.0036448387809312364,-0.0011557472678741995,0.013757815009017106,-0.003680112,-0.0011503,0.01398059
0.22,-0.0036882217758704835,-0.0011719655763325824,0.014226344950668527,-0.0036705031635226397,-0.0011830559217820185,0.0142152546052191,-0.003711591,-0.001183729,0.01443821
0.225,-0.003729873104384316,-0.0011975744055138622,0.014690539047137744,-0.0037129979080342415,-0.0011985585794508967,0.01468955487320076,-0.003762456,-0.00120225,0.0148986
0.23,-0.003800003318303192,-0.0012034134343148753,0.015125595658744521,-0.003790562185919611,-0.001195096412890513,0.015133912680168962,-0.00384485,-0.0011978,0.01531874
0.23500000000000001,-0.003905290255428625,-0.0011827002668827263,0.015499890724815455,-0.003911292555031679,-0.0011673764390887004,0.015515214552609567,-0.003962105,-0.001165659,0.01567346
0.24,-0.00404149955363098,-0.0011335236407164528,0.01580891715959382,-0.004068564376894871,-0.0011141616547935822,0.01582827914551676,-0.004106726,-0.00110659,0.015966
0.245,-0.004194669248991293,-0.0010609308683272038,0.016075558475865684,-0.004242518590728654,-0.0010404446360584275,0.01609604470813449,-0.004262824,-0.001028275,0.01622461
0.25,-0.004346411327302453,-0.000977211288521133,0.01633717412905528,-0.004407260381061295,-0.0009580480753652054,0.01635633734221119,-0.004412088,-0.0009447425,0.01648748
0.255,-0.004481022086770412,-0.0008994163610867309,0.016626694262996452,-0.0045407712060322025,-0.0008835197404234196,0.016642590883659703,-0.00454072,-0.0008731795,0.01678415
0.26,-0.004591246173465369,-0.0008444214015996958,0.016957579703389687,-0.004633294384384387,-0.0008334421781035816,0.016968558926885726,-0.004644303,-0.0008287785,0.01712283
0.265,-0.004680238544581736,-0.0008231899979226446,0.01731992173608525,-0.004690692997689083,-0.0008187013640661267,0.0173244103699417,-0.004728607,-0.0008194383,0.01748933
0.27,-0.004759130773104647,-0.0008365720878106928,0.017688695636333733,-0.0047315952450262995,-0.000840047947264012,0.017685219776880385,-0.00480625,-0.0008425113,0.0178571
0.275,-0.004841664695578112,-0.0008745099798127777,0.018038705956079905,-0.004779883715972629,-0.0008869495970244991,0.018026266338868207,-0.004891044,-0.0008851022,0.01820221
0.28,-0.004938573318030174,-0.0009191086740655726,0.018357537711600543,-0.004855945416200704,-0.0009403866180776776,0.018336259767588514,-0.004992684,-0.0009279488,0.01851463
0.28500000000000003,-0.005054206534402848,-0.0009503449457000272,0.018649469711143372,-0.004970271766876484,-0.0009785493929621962,0.018621265263881307,-0.005114025,-0.0009513825,0.01880014
0.29,-0.005186506533077275,-0.0009520951314142959,0.018928753972789727,-0.005121545570681598,-0.0009832062281036186,0.018897642876100504,-0.005251664,-0.0009410363,0.01907251
