step,normal_force,active_patch_count,projection_error
0.0,0.19056404374423047,30.0,0.20120664591844256
1.0,0.19380305869353687,32.0,0.19943826763325495
2.0,0.19677103171168164,32.0,0.20459753648512352
3.0,0.1996161454125303,32.0,0.21092460315027506
4.0,0.20367144217451616,32.0,0.21890459452108307
5.0,0.20689903534020226,32.0,0.2280468960941431
6.0,0.21017284164358138,32.0,0.2335271918273972
7.0,0.2123748412973192,32.0,0.23933234958321867
8.0,0.21293090181594282,32.0,0.24578913683037437
9.0,0.2126110543027651,32.0,0.25296730643753945
10.0,0.21206750514581318,32.0,0.2614829656967728
11.0,0.2109248383517032,32.0,0.26838654544375334
12.0,0.21081847299168757,32.0,0.2762751431725078
13.0,0.21113046802862384,32.0,0.2817523159983877
14.0,0.212333211901744,32.0,0.28203952920515246
15.0,0.21249863990603218,32.0,0.28456339147635273
16.0,0.21295013850415462,32.0,0.28203753582463825
17.0,0.2125650665950149,32.0,0.28133125590174296
18.0,0.2122105780143893,32.0,0.2830967423941757
19.0,0.2109864558686378,32.0,0.2853024282262373
20.0,0.21082929362880867,32.0,0.28741522763848887
21.0,0.2109864558686378,32.0,0.29018711905006317
22.0,0.2122105780143893,32.0,0.2876151990595462
23.0,0.2125650665950149,32.0,0.2878052344464198
24.0,0.21295013850415462,32.0,0.2844719997522684
25.0,0.21249863990603218,32.0,0.2816557227304631
26.0,0.21233321190174403,32.0,0.2827323345739839
27.0,0.21113046802862384,32.0,0.28500189532720893
28.0,0.2108184729916876,32.0,0.28623026630760734
29.0,0.21092483835170314,32.0,0.28949960391110263
30.0,0.21206750514581318,32.0,0.2871364276637456
31.0,0.2126110543027651,32.0,0.28703310803086735
32.0,0.2129309018159428,32.0,0.2843669560763491
33.0,0.2123748412973192,32.0,0.2813912413793327
34.0,0.21017284164358135,32.0,0.28323527898187234
35.0,0.20689903534020226,32.0,0.28599722835657887
36.0,0.20367144217451616,32.0,0.2873059080954503
37.0,0.19961614541253034,32.0,0.2916479649245134
38.0,0.19677103171168164,32.0,0.2896822496122781
39.0,0.19380305869353687,32.0,0.2892557888696103
40.0,0.19056404374423047,32.0,0.28760028613713534
