patch_id,basis_column,low_modes_only_error,patch_residual_ilc_error,compressed_patch_residual_error
0,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
2,0,0.0,0.0,0.0
3,0,0.0,0.0,0.0
4,0,0.7603121303323659,0.0,0.016946380815379126
5,0,0.7481789404047692,0.0,0.024561275574632422
6,0,0.7481789404047778,0.0,0.02187007083636885
7,0,0.7603121303323356,0.0,0.014156578981473504
8,0,0.38293773471975573,0.0,0.018465598743615
9,0,0.518560668785922,0.0,0.01628211688115221
10,0,0.10584974571644534,0.0,0.0037848183929485918
11,0,0.0928439894836975,0.0,0.0037764772112828934
12,0,0.5185606687860655,0.0,0.01562311590225366
13,0,0.3829377347196744,0.0,0.017876187476965403
14,0,0.09284398948379427,0.0,0.003569201597904381
15,0,0.10584974571632912,0.0,0.0036801302823245576
16,0,0.38293773471978665,0.0,0.01669479046996419
17,0,0.5185606687859815,0.0,0.017073825669545444
18,0,0.1058497457163893,0.0,0.00389261040111243
19,0,0.09284398948373768,0.0,0.004057007287876893
20,0,0.3829377347197851,0.0,0.016588374793354996
21,0,0.518560668785981,0.0,0.01749212172829799
22,0,0.10584974571638833,0.0,0.0043178691408626915
23,0,0.09284398948373722,0.0,0.004424144770937545
