case,source_kind,source_report,external_solver,python_full_vs_calculix_relative_l2,adaptive_rom_vs_python_full_relative_l2,adaptive_rom_vs_calculix_relative_l2,max_observed_displacement_error,observed_node_count,sample_count,primary_figure,gate_threshold,passed,external_open_source_reference,stiffness_matrix_relative_l2,mass_matrix_relative_l2,adaptive_rom_vs_python_full_force_l2,calculix_pressure_overclosure_lsq_slope,target_pressure_overclosure_stiffness,pressure_overclosure_slope_relative_error,calculix_contact_stress_rows,calculix_pressure_overclosure_sample_count,max_calculix_contact_pressure,max_calculix_contact_overclosure,contact_activity_figure
linear_dynamic_three_way,live_outputs,E:\workspace\sdf-modal-pro\outputs\calculix_three_way\three_way_report.json,CalculiX ccx via WSL,0.011581181465679304,0.0037008956447928316,0.012075448283211812,0.00029639752604083275,6,480,E:\workspace\sdf-modal-pro\outputs\calculix_three_way\three_way_observed_displacement.png,all displacement relative L2 < 0.05,1,,,,,,,,,,,,
nonlinear_contact_three_way,live_outputs,E:\workspace\sdf-modal-pro\outputs\calculix_contact_three_way\three_way_contact_report.json,"CalculiX ccx via WSL, *DYNAMIC DIRECT with *CONTACT PAIR",0.005013623924494712,4.889168172167148e-14,0.005013623924473451,,,,E:\workspace\sdf-modal-pro\outputs\calculix_contact_three_way\nonlinear_contact_three_way_displacement.png,matrix rel L2 < 1e-10; displacement relative L2 < 0.02; ROM/full force L2 < 1e-8; pressure slope error < 1e-6,1,https://github.com/Dhondtguido/CalculiX,1.1575681230890578e-14,1.0205338666953473e-14,1.7655996257935343e-13,499.9999958284809,500.0,8.343038189195795e-09,1815,1815,11.22764,0.02245528,E:\workspace\sdf-modal-pro\outputs\calculix_contact_three_way\nonlinear_contact_three_way_contact_activity.png
